query	page	country	simulated clicks	start_date	end_date	domain
pharma recruiters	https://surfsearch.org/pharmaceutical-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
executive search boston	https://penderhowe.com/boston-executive-search/	US	1	2023-01-31	2023-03-01	penderhowe.com
travel recruitment 	https://www.bristolassoc.com/travel-tourism-and-attraction/	US	1	2023-01-31	2023-03-01	bristolassoc.com
electronics recycling calgary	https://quantumlifecycle.com/en_CA/electronics-recycling-calgary/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
renewable energy recruiter	https://mangrumcareersolutions.com/specialty/renewable-energy-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
supply chain recruiting	https://mangrumcareersolutions.com/practice-area/supply-chain-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
devops recruitment	https://www.redfishtech.com/devops-recruiting/	US	2	2023-01-31	2023-03-01	redfishtech.com
hotel headhunter 	https://www.bristolassoc.com/hospitality/	US	1	2023-01-31	2023-03-01	bristolassoc.com
executive search nyc	https://penderhowe.com/new-york-executive-search/	US	1	2023-01-31	2023-03-01	penderhowe.com
medical device recruiter	https://surfsearch.org/medical-devices-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
vancouver recruiter	https://www.locksearchgroup.com/offices/vancouver/	CA	1	2023-01-31	2023-03-01	locksearchgroup.com
executive recruiters vancouver	https://penderhowe.com/vancouver-executive-search/	CA	1	2023-01-31	2023-03-01	penderhowe.com
biotech recruiter	https://surfsearch.org/top-biotech-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
HVAC recruitment	https://www.bemana.us/practice-area/hvac/	US	1	2023-01-31	2023-03-01	bemana.us
supply chain recruiter	https://mangrumcareersolutions.com/practice-area/supply-chain-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
HVAC recruiting	https://www.bemana.us/practice-area/hvac/	US	1	2023-01-31	2023-03-01	bemana.us
executive search montreal	https://penderhowe.com/montreal-executive-search/	CA	1	2023-01-31	2023-03-01	penderhowe.com
heavy equipment recruiter	https://www.bemana.us/practice-area/heavy-equipment/	US	1	2023-01-31	2023-03-01	bemana.us
fintech recruiter	https://www.redfishtech.com/fintech-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
manufacturing recruiting	https://mangrumcareersolutions.com/industrial-manufacturing-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
electrical engineering recruitment agencies	https://180engineering.com/practice-area/electrical-engineering-recruiters/	US	1	2023-01-31	2023-03-01	180engineering.com
sql server dba staffing	https://180engineering.com/staffing/database-administrator/	US	1	2023-01-31	2023-03-01	180engineering.com
project management recruiters	https://180engineering.com/practice-area/project-program-management/	US	1	2023-01-31	2023-03-01	180engineering.com
biotech recruiters	https://surfsearch.org/top-biotech-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
mechanical engineering recruiter	https://180engineering.com/practice-area/mechanical-engineering/	US	1	2023-01-31	2023-03-01	180engineering.com
big data recruiter	https://www.redfishtech.com/big-data-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
HVAC recruitment	https://www.bemana.us/practice-area/hvac/	US	1	2023-01-31	2023-03-01	bemana.us
project management recruiters	https://180engineering.com/practice-area/project-program-management/	US	1	2023-01-31	2023-03-01	180engineering.com
best basketball shoes	https://ballershoesdb.com/blog/top-5-basketball-shoes-great-grip-traction/	US	1	2023-01-31	2023-03-01	ballershoesdb.com
oil and gas recruitment	https://www.energists.com/sector/oil-gas-recruiters/	US	1	2023-01-31	2023-03-01	energists.com
executive recruiters vancouver	https://penderhowe.com/vancouver-executive-search/	CA	1	2023-01-31	2023-03-01	penderhowe.com
data destruction toronto	https://quantumlifecycle.com/en_CA/data-destruction-toronto/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
executive recruiters edmonton	https://penderhowe.com/edmonton-executive-search/	CA	1	2023-01-31	2023-03-01	penderhowe.com
best basketball shoes	https://ballershoesdb.com/blog/top-5-basketball-shoes-2023/	US	1	2023-01-31	2023-03-01	ballershoesdb.com
ottawa recruiter	https://summitsearchgroup.com/location/ottawa-recruiters/	CA	1	2023-01-31	2023-03-01	summitsearchgroup.com
hard drive destruction vancouver	https://quantumlifecycle.com/en_CA/data-destruction-vancouver/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
renewable energy recruiting agency 	https://mangrumcareersolutions.com/specialty/renewable-energy-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
fintech recruiters	https://www.redfishtech.com/fintech-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
executive search toronto	https://penderhowe.com/toronto-executive-search/	CA	3	2023-01-31	2023-03-01	penderhowe.com
pharma recruiter	https://surfsearch.org/pharmaceutical-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
engineering recruitment agency	https://180engineering.com/practice-area/software-engineering/	US	1	2023-01-31	2023-03-01	180engineering.com
smartphone recycling	https://quantumlifecycle.com/en_CA/electronics-recycling-toronto/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
medical device recruiter	https://surfsearch.org/medical-devices-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
fintech recruiter	https://www.redfishtech.com/fintech-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
executive search new york city	https://penderhowe.com/new-york-executive-search/	US	1	2023-01-31	2023-03-01	penderhowe.com
pharma recruiters	https://surfsearch.org/pharmaceutical-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
energy executive search	https://www.energists.com/sector/power-utilities-recruiters/	US	1	2023-01-31	2023-03-01	energists.com
power generation recruiter	https://www.bemana.us/practice-area/power-generation-recruiters/	US	1	2023-01-31	2023-03-01	bemana.us
best basketball shoes	https://ballershoesdb.com/blog/top-5-basketball-shoes-great-grip-traction/	US	2	2023-01-31	2023-03-01	ballershoesdb.com
workable job board integration	https://www.talentheromedia.com/workable-job-board-integration/	US	1	2023-01-31	2023-03-01	talentheromedia.com
product management recruiters	https://www.redfishtech.com/product-management-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
manufacturing recruitment	https://caltekstaffing.com/manufacturing-recruitment/	US	1	2023-01-31	2023-03-01	caltekstaffing.com
travel recruitment 	https://www.bristolassoc.com/travel-tourism-and-attraction/	US	1	2023-01-31	2023-03-01	bristolassoc.com
machine learning recruiters	https://www.redfishtech.com/machine-learning-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
executive search nyc	https://penderhowe.com/new-york-executive-search/	US	1	2023-01-31	2023-03-01	penderhowe.com
vancouver recruiter	https://www.locksearchgroup.com/offices/vancouver/	CA	1	2023-01-31	2023-03-01	locksearchgroup.com
manufacturing recruiting	https://mangrumcareersolutions.com/industrial-manufacturing-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
software engineering recruiter	https://180engineering.com/practice-area/software-engineering/	US	1	2023-01-31	2023-03-01	180engineering.com
recruiting tools	https://www.talentheromedia.com/recruiting-software-tools/	US	1	2023-01-31	2023-03-01	talentheromedia.com
renewable energy recruiting agency 	https://mangrumcareersolutions.com/specialty/renewable-energy-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
renewable energy recruiter	https://mangrumcareersolutions.com/specialty/renewable-energy-recruiters/	US	1	2023-01-31	2023-03-01	mangrumcareersolutions.com
executive search toronto	https://penderhowe.com/toronto-executive-search/	CA	3	2023-01-31	2023-03-01	penderhowe.com
computer recycling	https://quantumlifecycle.com/en_CA/electronics-recycling-montreal/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
medical device recruiter	https://www.locksearchgroup.com/practice/medical-device/	CA	1	2023-01-31	2023-03-01	locksearchgroup.com
engineering and manufacturing staffing agency	https://caltekstaffing.com/dallas-fort-worth-staffing-recruiting/	US	1	2023-01-31	2023-03-01	caltekstaffing.com
travel recruiter	https://www.bristolassoc.com/travel-tourism-and-attraction/	US	1	2023-01-31	2023-03-01	bristolassoc.com
computer recycling	https://quantumlifecycle.com/en_CA/electronics-recycling-toronto/	CA	1	2023-01-31	2023-03-01	quantumlifecycle.com
medical device recruiter	https://surfsearch.org/medical-devices-recruiters/	US	1	2023-01-31	2023-03-01	surfsearch.org
fintech recruiters	https://www.redfishtech.com/fintech-recruiting/	US	1	2023-01-31	2023-03-01	redfishtech.com
recruitment agency logo	https://www.talentheromedia.com/recruitment-logos-definitive-guide/	US	1	2023-01-31	2023-03-01	talentheromedia.com
recruiting ideas	https://www.talentheromedia.com/recruitment-ideas/	US	1	2023-01-31	2023-03-01	talentheromedia.com
machine learning temp staffing	https://caltekstaffing.com/machine-learning-recruitment-and-staffing/	US	1	2023-01-31	2023-03-01	caltekstaffing.com
