query	page	country	clicks	impressions	ctr	position	start_date	end_date	domain
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	61.0	896.0	0.06808035714285714	2.739955357142857	2023-03-01	2023-01-31	archipro.com
archipro	https://archipro.com/	US	44.0	159.0	0.27672955974842767	2.050314465408805	2023-03-01	2023-01-31	archipro.com
architecture	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	30.0	883.0	0.03397508493771234	2.144960362400906	2023-03-01	2023-01-31	archipro.com
different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	26.0	366.0	0.07103825136612021	2.710382513661202	2023-03-01	2023-01-31	archipro.com
what are the different types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	17.0	209.0	0.08133971291866028	2.3301435406698565	2023-03-01	2023-01-31	archipro.com
what are the different types of architects?	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	15.0	105.0	0.14285714285714285	1.6952380952380952	2023-03-01	2023-01-31	archipro.com
archipro staff agency	https://archipro.com/	US	12.0	22.0	0.5454545454545454	1.0	2023-03-01	2023-01-31	archipro.com
what types of architects are there	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	10.0	93.0	0.10752688172043011	2.225806451612903	2023-03-01	2023-01-31	archipro.com
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	8.0	189.0	0.042328042328042326	2.7301587301587302	2023-03-01	2023-01-31	archipro.com
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	PH	7.0	293.0	0.023890784982935155	3.52901023890785	2023-03-01	2023-01-31	archipro.com
different kinds of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	6.0	45.0	0.13333333333333333	2.8	2023-03-01	2023-01-31	archipro.com
types of architects	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	PH	6.0	97.0	0.061855670103092786	2.8350515463917523	2023-03-01	2023-01-31	archipro.com
architecture recruitment agencies	https://archipro.com/	US	5.0	49.0	0.10204081632653061	13.36734693877551	2023-03-01	2023-01-31	archipro.com
types of architect	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	IN	5.0	164.0	0.03048780487804878	7.152439024390244	2023-03-01	2023-01-31	archipro.com
what kind of architects are there	https://archipro.com/blog/different-types-of-architects-and-what-they-do/	US	5.0	64.0	0.078125	2.609375	2023-03-01	2023-01-31	archipro.com
archipro staff agency	https://archipro.com/jobs-2/	US	4.0	21.0	0.19047619047619047	1.380952380952381	2023-03-01	2023-01-31	archipro.com
